"","firm","employee","Executive Investor","Executive Non-Investor","Non-Executive Investor","Non-Executive Non-Investor","Female","Male","White","Black","Asian/Indian","Latino/a","Other Non-White","White & Female","White & Male","Black & Female","Black & Male","Asian/Indian & Female","Asian/Indian & Male","Latina","Latino","Other Non-White & Female","Other Non-White & Male","Size of Most Recent Fund ($MM)","Size of Most Recent Fund ($MM) Grouping","VC Firm","Angel Group","Family Office","Other","Industry Focus - Tech","Industry Focus - Consumer","Industry Focus - General","Industry Focus - Other","Main Focus Midwest?","First Time Fund?"
"1","Firm 1","Employee 1",1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"15","$5-$15",0,1,0,0,1,0,1,0,0,1
"2","Firm 1","Employee 2",0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"15","$5-$15",0,1,0,0,1,0,1,0,0,1
"3","Firm 1","Employee 3",0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"15","$5-$15",0,1,0,0,1,0,1,0,0,1
"4","Firm 1","Employee 4",0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,"15","$5-$15",0,1,0,0,1,0,1,0,0,1
"5","Firm 1","Employee 5",0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"15","$5-$15",0,1,0,0,1,0,1,0,0,1
"6","Firm 1","Employee 6",0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"15","$5-$15",0,1,0,0,1,0,1,0,0,1
"7","Firm 1","Employee 7",0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"15","$5-$15",0,1,0,0,1,0,1,0,0,1
"8","Firm 2","Employee 1",0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"66.04","$15.1-$99",1,0,0,0,1,0,0,0,1,0
"9","Firm 2","Employee 2",0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"66.04","$15.1-$99",1,0,0,0,1,0,0,0,1,0
"10","Firm 2","Employee 3",1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"66.04","$15.1-$99",1,0,0,0,1,0,0,0,1,0
"11","Firm 2","Employee 4",1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"66.04","$15.1-$99",1,0,0,0,1,0,0,0,1,0
"12","Firm 2","Employee 5",0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"66.04","$15.1-$99",1,0,0,0,1,0,0,0,1,0
"13","Firm 3","Employee 1",0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,"66.04","$15.1-$99",1,0,0,0,1,0,0,0,1,0
"14","Firm 3","Employee 2",1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"66.04","$15.1-$99",1,0,0,0,1,0,0,0,1,0
"15","Firm 3","Employee 3",1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"N/A","N/A",1,0,0,0,0,1,0,0,0,0
"16","Firm 3","Employee 4",1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"N/A","N/A",1,0,0,0,0,1,0,0,0,0
"17","Firm 3","Employee 5",0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"N/A","N/A",1,0,0,0,0,1,0,0,0,0
"18","Firm 4","Employee 1",0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"N/A","N/A",1,0,0,0,0,1,0,0,0,0
"19","Firm 4","Employee 2",0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"N/A","N/A",1,0,0,0,0,1,0,0,0,0
"20","Firm 4","Employee 3",0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"N/A","N/A",1,0,0,0,0,1,0,0,0,0
"21","Firm 4","Employee 4",1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"100","$100+",1,0,0,0,1,0,0,0,0,1
"22","Firm 4","Employee 5",1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"100","$100+",1,0,0,0,1,0,0,0,0,1
"23","Firm 4","Employee 6",0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,"310","$100+",1,0,0,0,1,0,0,1,1,0
"24","Firm 4","Employee 7",0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"310","$100+",1,0,0,0,1,0,0,1,1,0
"25","Firm 4","Employee 8",0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"310","$100+",1,0,0,0,1,0,0,1,1,0
"26","Firm 5","Employee 1",1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"100","$100+",1,0,0,0,1,0,0,0,0,1
"27","Firm 5","Employee 2",1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"100","$100+",1,0,0,0,1,0,0,0,0,1
"28","Firm 6","Employee 1",0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"100","$100+",1,0,0,0,1,0,0,0,0,1
"29","Firm 6","Employee 2",1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"86.42","$15.1-$99",1,0,0,0,1,0,0,1,0,0
"30","Firm 6","Employee 3",1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"86.42","$15.1-$99",1,0,0,0,1,0,0,1,0,0
"31","Firm 6","Employee 4",1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"86.42","$15.1-$99",1,0,0,0,1,0,0,1,0,0
"32","Firm 6","Employee 5",1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"86.42","$15.1-$99",1,0,0,0,1,0,0,1,0,0
"33","Firm 6","Employee 6",1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,"86.42","$15.1-$99",1,0,0,0,1,0,0,1,0,0
"34","Firm 7","Employee 1",1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"86.42","$15.1-$99",1,0,0,0,1,0,0,1,0,0
"35","Firm 7","Employee 2",0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"86.42","$15.1-$99",1,0,0,0,1,0,0,1,0,0
"36","Firm 7","Employee 3",0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"86.42","$15.1-$99",1,0,0,0,1,0,0,1,0,0
"37","Firm 7","Employee 4",0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"86.42","$15.1-$99",1,0,0,0,1,0,0,1,0,0
"38","Firm 7","Employee 5",0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"86.42","$15.1-$99",1,0,0,0,1,0,0,1,0,0
"39","Firm 7","Employee 6",0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"86.42","$15.1-$99",1,0,0,0,1,0,0,1,0,0
"40","Firm 7","Employee 7",1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"408","$100+",1,0,0,0,0,0,0,1,0,0
"41","Firm 7","Employee 8",0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"408","$100+",1,0,0,0,0,0,0,1,0,0
"42","Firm 7","Employee 9",1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"408","$100+",1,0,0,0,0,0,0,1,0,0
"43","Firm 8","Employee 1",0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"408","$100+",1,0,0,0,0,0,0,1,0,0
"44","Firm 8","Employee 2",0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"408","$100+",1,0,0,0,0,0,0,1,0,0
"45","Firm 8","Employee 3",0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"408","$100+",1,0,0,0,0,0,0,1,0,0
"46","Firm 8","Employee 4",0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,"408","$100+",1,0,0,0,0,0,0,1,0,0
"47","Firm 9","Employee 1",1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,"310","$100+",1,0,0,0,1,0,0,1,1,0
"48","Firm 9","Employee 2",1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"310","$100+",1,0,0,0,1,0,0,1,1,0
"49","Firm 9","Employee 3",1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"310","$100+",1,0,0,0,1,0,0,1,1,0
"50","Firm 9","Employee 4",1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,"310","$100+",1,0,0,0,1,0,0,1,1,0
"51","Firm 10","Employee 1",0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"310","$100+",1,0,0,0,1,0,0,1,1,0
"52","Firm 10","Employee 2",1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"N/A","N/A",0,0,1,0,0,1,0,0,0,0
"53","Firm 10","Employee 3",1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"N/A","N/A",0,0,1,0,0,1,0,0,0,0
"54","Firm 10","Employee 4",0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"N/A","N/A",0,0,1,0,0,1,0,0,0,0
"55","Firm 10","Employee 5",1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"4.6","$5-$15",0,0,0,1,0,0,0,1,1,0
"56","Firm 11","Employee 1",1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"4.6","$5-$15",0,0,0,1,0,0,0,1,1,0
"57","Firm 11","Employee 2",0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"4.6","$5-$15",0,0,0,1,0,0,0,1,1,0
"58","Firm 11","Employee 3",1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,"N/A","N/A",1,0,0,0,1,1,0,0,0,1
"59","Firm 11","Employee 4",0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"N/A","N/A",1,0,0,0,1,1,0,0,0,1
"60","Firm 11","Employee 5",0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"N/A","N/A",1,0,0,0,1,1,0,0,0,1
"61","Firm 11","Employee 6",1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,"N/A","N/A",1,0,0,0,1,1,0,0,0,1
"62","Firm 11","Employee 7",0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"N/A","N/A",1,0,0,0,1,1,0,0,0,1
"63","Firm 11","Employee 8",1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"37","$15.1-$99",1,0,0,0,1,0,0,0,0,0
"64","Firm 11","Employee 9",1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"37","$15.1-$99",1,0,0,0,1,0,0,0,0,0
"65","Firm 11","Employee 10",0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"37","$15.1-$99",1,0,0,0,1,0,0,0,0,0
"66","Firm 11","Employee 11",0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"37","$15.1-$99",1,0,0,0,1,0,0,0,0,0
"67","Firm 12","Employee 1",1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"N/A","N/A",0,0,1,0,0,0,1,0,0,0
"68","Firm 12","Employee 2",1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"N/A","N/A",0,0,1,0,0,0,1,0,0,0
"69","Firm 12","Employee 3",0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"N/A","N/A",0,0,1,0,0,0,1,0,0,0
"70","Firm 13","Employee 1",0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"N/A","N/A",0,0,1,0,0,0,1,0,0,0
"71","Firm 13","Employee 2",0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"N/A","N/A",0,0,1,0,0,0,1,0,0,0
"72","Firm 13","Employee 3",0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"N/A","N/A",0,0,1,0,0,0,1,0,0,0
"73","Firm 13","Employee 4",0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"N/A","N/A",0,0,1,0,0,0,1,0,0,0
"74","Firm 13","Employee 5",0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,"N/A","N/A",0,0,1,0,0,0,1,0,0,0
"75","Firm 13","Employee 6",0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"N/A","N/A",0,0,1,0,0,0,1,0,0,0
"76","Firm 13","Employee 7",0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"N/A","N/A",0,0,1,0,0,0,1,0,0,0
"77","Firm 13","Employee 8",0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,"N/A","N/A",0,0,1,0,0,0,1,0,0,0
"78","Firm 13","Employee 9",1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"15","$5-$15",1,0,0,0,1,0,0,1,0,1
"79","Firm 13","Employee 10",1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"15","$5-$15",1,0,0,0,1,0,0,1,0,1
"80","Firm 13","Employee 11",0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"15","$5-$15",1,0,0,0,1,0,0,1,0,1
"81","Firm 13","Employee 12",0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"15","$5-$15",1,0,0,0,1,0,0,1,0,1
"82","Firm 14","Employee 1",0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"15","$5-$15",1,0,0,0,1,0,0,1,0,1
"83","Firm 14","Employee 2",0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"91","$15.1-$99",1,0,0,0,1,0,0,0,0,0
"84","Firm 15","Employee 1",1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"91","$15.1-$99",1,0,0,0,1,0,0,0,0,0
"85","Firm 15","Employee 2",0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"91","$15.1-$99",1,0,0,0,1,0,0,0,0,0
"86","Firm 15","Employee 3",1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"91","$15.1-$99",1,0,0,0,1,0,0,0,0,0
"87","Firm 15","Employee 4",1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"91","$15.1-$99",1,0,0,0,1,0,0,0,0,0
"88","Firm 15","Employee 5",1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"91","$15.1-$99",1,0,0,0,1,0,0,0,0,0
"89","Firm 15","Employee 6",0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"91","$15.1-$99",1,0,0,0,1,0,0,0,0,0
"90","Firm 15","Employee 7",1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"91","$15.1-$99",1,0,0,0,1,0,0,0,0,0
"91","Firm 15","Employee 8",0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"91","$15.1-$99",1,0,0,0,1,0,0,0,0,0
"92","Firm 15","Employee 9",0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"91","$15.1-$99",1,0,0,0,1,0,0,0,0,0
"93","Firm 15","Employee 10",1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"91","$15.1-$99",1,0,0,0,1,0,0,0,0,0
"94","Firm 15","Employee 11",0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"91","$15.1-$99",1,0,0,0,1,0,0,0,0,0
"95","Firm 15","Employee 12",0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"91","$15.1-$99",1,0,0,0,1,0,0,0,0,0
"96","Firm 15","Employee 13",0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"91","$15.1-$99",1,0,0,0,1,0,0,0,0,0
"97","Firm 15","Employee 14",1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"N/A","N/A",0,0,1,0,0,0,1,0,0,0
"98","Firm 15","Employee 15",0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"N/A","N/A",0,0,1,0,0,0,1,0,0,0
"99","Firm 15","Employee 16",1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"N/A","N/A",0,1,0,0,1,0,0,0,1,0
"100","Firm 15","Employee 17",0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"N/A","N/A",0,1,0,0,1,0,0,0,1,0
"101","Firm 15","Employee 18",0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"N/A","N/A",0,1,0,0,1,0,0,0,1,0
"102","Firm 15","Employee 19",0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"N/A","N/A",0,1,0,0,1,0,0,0,1,0
"103","Firm 15","Employee 20",0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"N/A","N/A",0,1,0,0,1,0,0,0,1,0
"104","Firm 15","Employee 21",1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"65","$15.1-$99",1,0,0,0,1,0,0,0,1,0
"105","Firm 15","Employee 22",1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"65","$15.1-$99",1,0,0,0,1,0,0,0,1,0
"106","Firm 15","Employee 23",1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"65","$15.1-$99",1,0,0,0,1,0,0,0,1,0
"107","Firm 15","Employee 24",0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"65","$15.1-$99",1,0,0,0,1,0,0,0,1,0
"108","Firm 15","Employee 25",0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"65","$15.1-$99",1,0,0,0,1,0,0,0,1,0
"109","Firm 15","Employee 26",0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"65","$15.1-$99",1,0,0,0,1,0,0,0,1,0
"110","Firm 15","Employee 27",0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"65","$15.1-$99",1,0,0,0,1,0,0,0,1,0
"111","Firm 15","Employee 28",0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"65","$15.1-$99",1,0,0,0,1,0,0,0,1,0
"112","Firm 16","Employee 1",0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"65","$15.1-$99",1,0,0,0,1,0,0,0,1,0
"113","Firm 16","Employee 2",0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"10","$5-$15",1,0,0,0,1,0,0,1,0,0
