"","firm","Main Focus Midwest?","First Time Fund?","industry","n","perc"
"1","Firm 1","National/Global","First Time Fund","Tech",7,1.9774011299435
"2","Firm 10","Midwest Focus","Multiple Funds","Other",1,0.282485875706215
"3","Firm 10","Midwest Focus","Multiple Funds","Tech",1,0.282485875706215
"4","Firm 10","National/Global","Multiple Funds","Consumer",3,0.847457627118644
"5","Firm 11","Midwest Focus","Multiple Funds","Other",2,0.564971751412429
"6","Firm 11","National/Global","First Time Fund","Tech",5,1.41242937853107
"7","Firm 11","National/Global","Multiple Funds","Tech",4,1.12994350282486
"8","Firm 12","National/Global","Multiple Funds","General",3,0.847457627118644
"9","Firm 13","National/Global","First Time Fund","Tech",4,1.12994350282486
"10","Firm 13","National/Global","Multiple Funds","General",8,2.25988700564972
"11","Firm 14","National/Global","First Time Fund","Tech",1,0.282485875706215
"12","Firm 14","National/Global","Multiple Funds","Tech",1,0.282485875706215
"13","Firm 15","Midwest Focus","Multiple Funds","Tech",13,3.67231638418079
"14","Firm 15","National/Global","Multiple Funds","General",2,0.564971751412429
"15","Firm 15","National/Global","Multiple Funds","Tech",13,3.67231638418079
"16","Firm 16","Midwest Focus","Multiple Funds","Tech",1,0.282485875706215
"17","Firm 16","National/Global","Multiple Funds","Tech",2,0.564971751412429
"18","Firm 17","National/Global","Multiple Funds","Tech",7,1.9774011299435
"19","Firm 18","National/Global","Multiple Funds","Tech",2,0.564971751412429
"20","Firm 19","National/Global","Multiple Funds","Tech",2,0.564971751412429
"21","Firm 2","Midwest Focus","Multiple Funds","Tech",5,1.41242937853107
"22","Firm 20","National/Global","Multiple Funds","Tech",3,0.847457627118644
"23","Firm 21","National/Global","Multiple Funds","Tech",1,0.282485875706215
"24","Firm 22","Midwest Focus","Multiple Funds","General",2,0.564971751412429
"25","Firm 22","National/Global","Multiple Funds","Consumer",1,0.282485875706215
"26","Firm 23","Midwest Focus","Multiple Funds","General",1,0.282485875706215
"27","Firm 23","National/Global","First Time Fund","Tech",5,1.41242937853107
"28","Firm 24","National/Global","First Time Fund","Tech",1,0.282485875706215
"29","Firm 24","National/Global","Multiple Funds","Tech",7,1.9774011299435
"30","Firm 25","National/Global","Multiple Funds","Tech",3,0.847457627118644
"31","Firm 26","National/Global","Multiple Funds","Tech",3,0.847457627118644
"32","Firm 27","National/Global","Multiple Funds","General",5,1.41242937853107
"33","Firm 27","National/Global","Multiple Funds","Tech",2,0.564971751412429
"34","Firm 28","National/Global","Multiple Funds","General",9,2.54237288135593
"35","Firm 29","National/Global","Multiple Funds","General",2,0.564971751412429
"36","Firm 3","Midwest Focus","Multiple Funds","Tech",2,0.564971751412429
"37","Firm 3","National/Global","Multiple Funds","Consumer",3,0.847457627118644
"38","Firm 30","National/Global","First Time Fund","Tech",4,1.12994350282486
"39","Firm 30","National/Global","Multiple Funds","Consumer",6,1.69491525423729
"40","Firm 31","Midwest Focus","First Time Fund","Tech",1,0.282485875706215
"41","Firm 31","National/Global","Multiple Funds","Consumer",4,1.12994350282486
"42","Firm 31","National/Global","Multiple Funds","Tech",9,2.54237288135593
"43","Firm 32","National/Global","Multiple Funds","Tech",4,1.12994350282486
"44","Firm 33","National/Global","Multiple Funds","Tech",3,0.847457627118644
"45","Firm 34","National/Global","Multiple Funds","Tech",1,0.282485875706215
"46","Firm 35","National/Global","Multiple Funds","Tech",3,0.847457627118644
"47","Firm 36","National/Global","Multiple Funds","Tech",2,0.564971751412429
"48","Firm 37","National/Global","Multiple Funds","Tech",2,0.564971751412429
"49","Firm 38","National/Global","Multiple Funds","Tech",1,0.282485875706215
"50","Firm 39","National/Global","Multiple Funds","Tech",3,0.847457627118644
"51","Firm 4","Midwest Focus","Multiple Funds","Tech",3,0.847457627118644
"52","Firm 4","National/Global","First Time Fund","Tech",2,0.564971751412429
"53","Firm 4","National/Global","Multiple Funds","Consumer",3,0.847457627118644
"54","Firm 40","Midwest Focus","First Time Fund","Consumer",2,0.564971751412429
"55","Firm 40","National/Global","Multiple Funds","General",2,0.564971751412429
"56","Firm 41","Midwest Focus","First Time Fund","Consumer",1,0.282485875706215
"57","Firm 41","Midwest Focus","Multiple Funds","Tech",3,0.847457627118644
"58","Firm 41","National/Global","Multiple Funds","General",1,0.282485875706215
"59","Firm 42","Midwest Focus","Multiple Funds","General",1,0.282485875706215
"60","Firm 42","National/Global","First Time Fund","Other",4,1.12994350282486
"61","Firm 42","National/Global","Multiple Funds","General",1,0.282485875706215
"62","Firm 42","National/Global","Multiple Funds","Tech",2,0.564971751412429
"63","Firm 43","National/Global","First Time Fund","Other",1,0.282485875706215
"64","Firm 43","National/Global","Multiple Funds","Other",1,0.282485875706215
"65","Firm 44","National/Global","Multiple Funds","Other",1,0.282485875706215
"66","Firm 44","National/Global","Multiple Funds","Tech",1,0.282485875706215
"67","Firm 45","National/Global","Multiple Funds","Tech",3,0.847457627118644
"68","Firm 46","Midwest Focus","Multiple Funds","General",2,0.564971751412429
"69","Firm 47","Midwest Focus","Multiple Funds","General",1,0.282485875706215
"70","Firm 47","Midwest Focus","Multiple Funds","Tech",1,0.282485875706215
"71","Firm 48","Midwest Focus","Multiple Funds","Tech",2,0.564971751412429
"72","Firm 49","Midwest Focus","Multiple Funds","Tech",2,0.564971751412429
"73","Firm 49","National/Global","First Time Fund","Other",2,0.564971751412429
"74","Firm 5","National/Global","First Time Fund","Tech",2,0.564971751412429
"75","Firm 50","National/Global","First Time Fund","Other",1,0.282485875706215
"76","Firm 51","National/Global","First Time Fund","Other",1,0.282485875706215
"77","Firm 51","National/Global","Multiple Funds","Tech",2,0.564971751412429
"78","Firm 52","National/Global","Multiple Funds","Tech",7,1.9774011299435
"79","Firm 53","National/Global","First Time Fund","Tech",2,0.564971751412429
"80","Firm 53","National/Global","Multiple Funds","Tech",6,1.69491525423729
"81","Firm 54","National/Global","Multiple Funds","Tech",1,0.282485875706215
"82","Firm 55","National/Global","Multiple Funds","Consumer",2,0.564971751412429
"83","Firm 55","National/Global","Multiple Funds","Tech",1,0.282485875706215
"84","Firm 56","Midwest Focus","First Time Fund","Tech",1,0.282485875706215
"85","Firm 56","National/Global","Multiple Funds","Consumer",2,0.564971751412429
"86","Firm 57","Midwest Focus","First Time Fund","Tech",7,1.9774011299435
"87","Firm 57","National/Global","First Time Fund","Tech",3,0.847457627118644
"88","Firm 57","National/Global","Multiple Funds","Tech",4,1.12994350282486
"89","Firm 58","Midwest Focus","First Time Fund","Tech",1,0.282485875706215
"90","Firm 58","Midwest Focus","Multiple Funds","Tech",1,0.282485875706215
"91","Firm 59","Midwest Focus","Multiple Funds","Tech",2,0.564971751412429
"92","Firm 6","National/Global","First Time Fund","Tech",1,0.282485875706215
"93","Firm 6","National/Global","Multiple Funds","Tech",5,1.41242937853107
"94","Firm 60","National/Global","Multiple Funds","Tech",1,0.282485875706215
"95","Firm 61","National/Global","Multiple Funds","Tech",2,0.564971751412429
"96","Firm 62","National/Global","First Time Fund","Other",2,0.564971751412429
"97","Firm 62","National/Global","Multiple Funds","Tech",3,0.847457627118644
"98","Firm 63","Midwest Focus","Multiple Funds","General",1,0.282485875706215
"99","Firm 63","National/Global","First Time Fund","Consumer",3,0.847457627118644
"100","Firm 63","National/Global","First Time Fund","Tech",1,0.282485875706215
"101","Firm 63","National/Global","Multiple Funds","Tech",6,1.69491525423729
"102","Firm 64","Midwest Focus","Multiple Funds","General",2,0.564971751412429
"103","Firm 64","National/Global","Multiple Funds","Tech",3,0.847457627118644
"104","Firm 65","National/Global","Multiple Funds","Tech",5,1.41242937853107
"105","Firm 66","National/Global","Multiple Funds","General",2,0.564971751412429
"106","Firm 67","National/Global","Multiple Funds","General",5,1.41242937853107
"107","Firm 68","National/Global","First Time Fund","Tech",1,0.282485875706215
"108","Firm 68","National/Global","Multiple Funds","General",5,1.41242937853107
"109","Firm 69","Midwest Focus","Multiple Funds","General",3,0.847457627118644
"110","Firm 69","Midwest Focus","Multiple Funds","Tech",3,0.847457627118644
"111","Firm 69","National/Global","First Time Fund","Tech",1,0.282485875706215
"112","Firm 69","National/Global","Multiple Funds","Other",2,0.564971751412429
"113","Firm 7","National/Global","Multiple Funds","Other",3,0.847457627118644
"114","Firm 7","National/Global","Multiple Funds","Tech",6,1.69491525423729
"115","Firm 70","National/Global","Multiple Funds","Tech",9,2.54237288135593
"116","Firm 71","National/Global","First Time Fund","Tech",3,0.847457627118644
"117","Firm 8","National/Global","Multiple Funds","Other",4,1.12994350282486
"118","Firm 9","Midwest Focus","Multiple Funds","Tech",4,1.12994350282486
